Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
269,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
276,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
281,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
282,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
283,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
284,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
285,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
290,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
297,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
298,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
299,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
300,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
301,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.32,1229,586,1309,666
302,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1309,666
303,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
304,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
305,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
306,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
307,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.32,1229,586,1309,666
308,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.33,1229,586,1309,666
309,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
310,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
311,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
312,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
313,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
314,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1227,584,1311,669
315,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,665
331,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1230,586,1308,666
332,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1227,585,1311,669
344,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1227,585,1311,669
345,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
346,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1308,666
347,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1308,666
348,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
349,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,665
350,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
351,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
352,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,665
353,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1308,665
354,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,665
355,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,665
356,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
357,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
358,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
359,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
360,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
361,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
362,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
363,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1308,666
364,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.32,1229,586,1308,666
365,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
366,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1308,666
367,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
368,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
369,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
370,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
