Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
1,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.66,1057,276,1157,429
2,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.68,1055,278,1159,424
3,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.66,1056,275,1157,430
4,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.6,1055,275,1156,432
5,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.65,1055,277,1155,430
6,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.65,1056,276,1156,431
7,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.61,1055,275,1157,433
8,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.61,1055,274,1157,432
9,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.61,1055,274,1157,431
10,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.59,1055,276,1157,430
11,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.53,1054,277,1156,429
12,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.49,1054,278,1155,429
13,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.52,1055,276,1157,433
14,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.54,1055,276,1156,435
15,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.54,1053,276,1155,432
16,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.62,1055,277,1156,432
17,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.62,1055,279,1155,430
18,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.62,1055,279,1155,431
19,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.63,1055,279,1154,430
20,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.61,1055,278,1154,428
21,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.57,1055,278,1154,430
22,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.61,1055,278,1154,429
23,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.6,1055,277,1155,431
24,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.56,1055,277,1154,429
25,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.5,1055,277,1154,430
26,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.52,1054,278,1154,429
27,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.55,1055,278,1154,429
28,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.49,1056,276,1156,433
29,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.51,1055,277,1154,430
30,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.46,1056,276,1155,431
31,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.34,1056,276,1156,431
32,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.37,1056,275,1156,432
33,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.31,1055,274,1157,434
37,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.29,1055,275,1157,434
38,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.4,1055,275,1157,433
39,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.33,1055,274,1156,433
40,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.36,1056,274,1157,431
41,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.33,1056,275,1157,430
42,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.27,1056,274,1157,431
45,/Volumes/T7/Encl4_03152024/GoPro4/GoPro4_Encl4_03152024_1.MP4,9,traffic light,0.28,1056,269,1161,434
