Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
202,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,0,person,0.25,2,598,83,731
427,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,14,bird,0.67,582,963,694,1078
428,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.25,1004,493,1060,534
429,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,14,bird,0.6,672,895,799,1010
430,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,493,1061,535
431,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.28,1004,493,1061,534
432,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.28,1004,493,1061,534
434,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.28,1004,493,1061,534
435,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.3,1004,494,1061,534
448,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,494,1061,534
470,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,493,1061,534
489,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,494,1061,534
491,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,494,1061,534
492,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.3,1004,494,1061,534
493,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.29,1004,494,1061,534
494,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.29,1004,494,1061,534
495,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.3,1004,493,1061,534
496,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.27,1004,494,1061,534
499,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,0,person,0.25,2,597,84,731
500,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,0,person,0.26,2,597,83,731
500,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.28,1004,494,1061,534
501,/Volumes/T7/Encl4_03152024/GoPro5/GoPro5_Encl4_03152024_1.MP4,32,sports ball,0.26,1004,494,1061,534
