Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
54,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,67,284,422
55,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,69,284,420
56,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,63,282,419
57,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.41,1,60,282,421
58,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.41,3,68,282,407
59,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,69,280,410
60,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.28,1,66,281,417
61,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,0,64,280,416
62,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,0,63,280,417
64,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,0,57,279,418
65,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,0,62,280,421
66,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.4,1,67,281,414
67,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.39,1,69,281,416
68,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.44,1,71,280,412
69,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,0,62,281,422
70,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.27,1,68,281,420
71,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.36,1,73,281,419
72,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,68,281,420
73,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.27,1,65,281,420
74,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,0,64,282,418
75,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,0,60,282,420
76,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,1,65,281,421
77,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,0,66,281,418
78,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,0,64,281,418
79,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.27,0,67,281,415
80,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,0,61,282,416
81,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.28,0,58,281,419
82,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,0,60,281,416
83,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,63,281,416
84,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,63,281,415
85,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.28,1,51,282,418
86,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,56,282,421
87,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,60,282,419
88,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,58,281,419
89,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,60,282,417
90,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,62,281,419
91,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,64,282,419
92,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,60,282,423
93,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,58,282,418
94,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,60,281,418
95,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,56,281,418
96,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,56,282,416
97,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,58,282,416
98,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,1,55,281,417
99,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,49,281,419
100,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,55,280,421
101,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,54,282,425
102,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,0,58,281,421
103,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,59,281,423
104,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.32,1,57,281,421
105,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,59,281,419
106,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,55,282,426
107,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,1,51,281,431
108,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,51,281,425
109,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,2,62,281,423
110,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.35,2,72,282,420
111,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.36,2,66,282,421
112,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.36,2,66,282,413
113,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,66,281,416
114,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,61,280,416
115,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,63,281,414
116,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,54,281,411
117,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,55,281,413
118,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.34,1,56,282,417
